No,Nama Ilmiah,Nama Lokal,Jumlah 2021,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Adenanthera pavonina,Saga,0,0,3,0,0
2,Aglaonema commutatum,Aglonema,0,0,0,8,8
3,Aglaonema nitidum,Aglaonema,0,0,0,8,8
4,Aglaonema sp.,Sri Rejeki,0,0,2,8,8
5,Alocasia macrorrhizos,Taro,8,33,3,8,8
6,Alphonsea javanica,Setulang,243,4,44,44,44
7,Alstonia pneumatophore,Pulai rawa,0,3,0,0,0
8,Anacardium occidentale,Jambu Mete,0,3,4,4,4
9,Antidesma bunius,Buni,0,3,2,2,2
10,Aquilaria malaccensis,Gaharu,0,0,24,25,25
11,Areca catechu,Pinang,9,5,3,4,4
12,Arenga pinnata,Aren,0,0,28,28,33
13,Artocarpus heterophyllus,Nangka,0,3,8,8,13
14,Artocarpus integer,Cempedak,0,40,3,4,4
15,Asplenium nidus,Paku Sarang Burung,8,5,2,1,1
16,Begonia sp.,Begonia,0,0,1,1,1
17,Caladium bicolor,Keladi Merah,15,5,2,1,1
18,Caladium lindenii,Keladi,0,0,2,0,0
19,Calamus rotang,Rotan,0,0,10,10,10
20,Calathea sp.,-,0,0,0,1,1
21,Calophyllum dioscurii,Mentangor,0,0,5,1,1
22,Citrus sp.,Jeruk,0,0,6,0,0
23,Cocos nucifera,Kelapa,0,2,20,16,16
24,Cotylelobium melanoxylon,Resak,0,0,2,3,3
25,Cratoxylon arborescens,Geronggang,19,68,65,66,66
26,Dendrodium Bigibbum,Anggrek,20,80,0,0,0
27,Dillenia exima,Simpu,0,10,0,0,0
28,Dimocarpus longan,Mata Kucing,17,5,0,0,0
29,Dracaena marginata,Manggar,0,0,1,0,0
30,Dracaena sp.,Drakaena,0,0,1,0,0
31,Durio zibethinus,Durian,0,0,0,0,5
32,Dyera costulata,Jelutung,0,0,1,0,0
33,Elaeis guinensis,Sawit,7,4,10,9,9
34,Gmelina arborea,Gamelina,0,0,0,0,5
35,Gomphandra capitulate,Mesiro,0,11,90,91,91
36,Heliconia psittacorum,Supit Udang,0,0,6,0,0
37,Hevea brasiliensis,Karet,74,15,140,145,145
38,Ilex cymosa,bengkulat,0,0,0,4,4
39,Macaranga pruinosa,Makaranga,12,15,0,0,0
40,Macaranga triloba,Mahang,0,0,10,10,10
41,Mangifera indica,Mangga,0,19,5,5,5
42,Manilkara zapota,Sawo,0,0,1,2,2
43,Maranta arundinacea,Garut,0,0,2,0,0
44,Marantha sp.,Maranta,0,0,0,2,2
45,Melaleuca leucadendra,Gelam,35,10,47,48,48
46,Melcope lunu-ancenda,Kayu bukam,0,11,0,0,0
47,Melicote ptelefolia,Tenggek Burung,0,0,10,12,12
48,Nepenthes albomarginata,Kantong Beruk,40,17,3,4,4
49,Nepenthes ampularia,Kantung Semar,120,17,88,86,86
50,Nepenthes bicalcarata,Kantung Semar,75,3,2,3,3
51,Nepenthes gracilis,Kantong Semar Gracilis,0,6,6,8,8
52,Nepenthes gracilis x ampullaria,Kantung Semar,0,0,1,2,2
53,Nepenthes mirabilis,Kantong semar mirabilis,80,28,5,6,6
54,Nepenthes rafflesiana,Kantong semar,157,20,13,14,14
55,Nepenthes spectabilis,Kantong Semar,30,10,4,6,6
56,Nepenthes sumantrana,Kantong semar sumatra,30,8,3,5,5
57,Nephelium lappaceum,Rambutan,0,0,5,0,0
58,Persea americana,Alpukat,0,7,1,1,1
59,Philodendron burie-marxii,Brekele,0,0,0,3,3
60,Pometia pinnata,Matoa,0,0,1,1,1
61,Rhodomtrus tomentosa,Kalimunting,0,11,0,0,0
62,Samanea saman,Trembesi,0,0,0,0,5
63,Sanseviera trifasciata,Lidah Mertua,0,0,6,6,6
64,Senna siamea,Johar,0,71,0,0,0
65,Shorea balangeran,Blangeran,0,19,2,3,3
66,Shorea leprosula,Meranti Tembaga,150,15,10,11,11
67,Shorea pauciflora,Meranti,0,0,15,16,16
68,Spatholobus littoralis,Bajaka/kait-kait,0,0,3,3,3
69,Stenochlaena palustris,Iding-iding,0,20,0,0,0
70,Swietenia mahagoni,Mahoni,0,0,0,0,10
71,Syzygium aqueum,Jambu Air,38,23,22,0,8
72,Syzygium cumini,kelad merah,15,25,16,18,18
73,Syzygium leptostemon,Kelad tikus,80,27,52,55,55
74,Syzygium malaccense,Jambu Bol/jamaika,0,0,2,3,3
75,Syzygium oleana,Pucuk merah,0,0,0,3,3
76,Syzygium polyanthum,Salam,0,0,1,2,2
77,Syzygium zeylanicum,Nasi Nasi,0,28,28,28,28
78,Thaumatopylum xanadu,Daun pilo,0,0,0,3,3
79,Vitex pubescens,Leban,42,16,18,20,20
80,Vitis sp.,Anggur,0,0,3,0,0
