No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Eutropis multifasciata,Bengkarung,0,0,2,0
2,Hemidactylus frenatus,Cicak rumah,1,1,3,3
3,Ahaetulla prasina,Ular pucuk,0,0,0,1
4,Bronchocella sp.,Bunglon,0,0,0,1
5,Chalcorana chalconota,Kongkang Kolam,0,0,0,1
6,Duttaphrynus melanostistus,Kodok Buduk,0,0,0,1
7,Gonyosoma oxycephalum,Ular bajing,0,0,0,1
8,Hylarana baramica,Kongkang Baram,0,0,1,3
9,Malayopython reticulatus,Ular sanca batik,0,2,1,1
10,Naja sumatrana,Ular Sendok Sumatra,0,0,0,1
11,Ophiopohagus hannah,Ular kobra raja,0,1,0,0
12,Varanus salvator,Biawak,0,2,1,2
