No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Callosciurus notatus,Bajing kelapa,4,3,7,7
2,Hipposideros sp.,Kelelawar,0,0,3,3
3,Helarctos malayanus,Beruang madu,0,0,1,1
4,Macaca fascicularis,Monyet ekor panjang,4,9,15,15
5,Macaca nemestrina,Beruk,0,0,15,15
6,Mydaus javanensis,Sigung,0,1,0,0
7,Presbytis melalophos,Simpai hitam sumatera,5,4,10,10
8,Prionailurus bengalensis,Kucing hutan,0,0,1,1
9,Sus scrofa,Babi hutan,0,0,5,5
10,Trachypithecus cristatus,Lutung kelabu,6,7,15,15
11,Tupaia sp.,Tupai,4,0,0,3
