No,Nama Ilmiah,Nama Lokal,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acridotheres javanicus,Jalak kerbau,32,0,0
2,Aerodramus hirundinaceus,Walet sarang putih,8,8,8
3,Alcedo coerulescens,Raja udang biru,1,0,0
4,Amaurornis phoenicurus,Kareo padi,3,2,2
5,Anthreptes malacensis,Burung madu kelapa,4,4,8
6,Artamus leucoryn,Kekep babi,5,0,1
7,Centropus bengalensis,Bubut alang-alang,0,1,1
8,Centropus sinensis,Bubut besar,1,0,0
9,Cinnyris jugularis,Burung madu sriganti,5,5,8
10,Collocalia esculenta,Walet sapi,3,3,3
11,Collocalia maxima,Walet sarang hitam,9,0,0
12,Dicaeum cruentatum,Cabai merah,2,2,2
13,Dicaeum trochileum,Cabai jawa,1,1,1
14,Eurystomus orientalis,Tiong lampu biasa,2,1,1
15,Geopelia striata,Perkutut jawa,6,6,0
16,Halcyon smyrnensis,Cekakak belukar,3,3,3
17,Hirundapus cochinchinensis,Kapinis jarum pantat putih,0,0,12
18,Hirundo tahitica,Layang-layang Batu,4,5,5
19,Lonchura maja,Bondol haji,3,3,3
20,Lonchura malacca,Bondol rawa,12,0,0
21,Lonchura striata,Bondol tunggir putih,0,2,2
22,Malacocincla sepiaria,Pelanduk semak,0,0,1
23,Meiglyptes tukki,Caladi badok,0,3,3
24,Orthotomus ruficeps,Cinenen kelabu,2,4,6
25,Otus lempiji,Celepuk reban,0,0,1
26,Passer montanus,Gereja erasia,26,22,6
27,Pycnonotus aurigaster,Cucak kutilang,3,6,7
28,Pycnonotus brunneus,Merbah mata merah,0,0,1
29,Pycnonotus goiavier,Merbah cerucuk,5,5,11
30,Rhipidura javanica,Kipasan belang,0,0,1
31,Todiramphus chloris,Cekakak sungai,0,0,1
32,Treron vernans,Punai gading,0,1,1
33,Turnix sylvatica,Gemak,0,1,1
