No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Acridotheres javanicus,Kerak kerbau,3,5
2,Aegithina tiphia,Cipoh kacat,2,4
3,Aethopyga siparaja,Burung madu sepah-raja,0,2
4,Anthreptes malacensis,Burung madu kelapa,6,8
5,Collocalia affinis,Walet-sapi jari-bulu,0,10
6,Collocalia esculenta,Walet sapi,8,8
7,Collocalia fuciphaga,Walet sarang putih,6,6
8,Corvus macrorhynchos,Gagak kampung,0,1
9,Dendrocopos moluccensis,Caladi tilik,3,5
10,Eurystomus orientalis,Tiong lampu biasa,1,1
11,Lalage nigra,Kapasan kemiri,1,2
12,Lonchura atricapilla,Bondol coklat,8,10
13,Lonchura maja,Bondol haji,10,11
14,Passer montanus,Burung gereja eurasia,8,10
15,Pycnonotus aurigaster,Kutilang,4,10
16,Pycnonotus goiavier,Merbah cerucuk,5,8
17,Todirhamphus chloris,Cekakak sungai,1,2
18,Treron vernans,Punai gading,0,3
