No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Abelmoschus esculentus,Okra,2.0,2
2,Albizia chinensis,Sengon,,2
3,Anonna muricata,Sirsak,2.0,2
4,Aquilaria Malaccensis,Gaharu,17.0,17
5,Areca catechu,Pinang,1.0,1
6,Artocarpus heterophyllus,Nangka,3.0,3
7,Asplenium nidus,Paku sarang burung,1.0,1
8,Averrhoa bilimbi,Belimbing wuluh,1.0,1
9,Bougainvillea glabra,Bougenvile,1.0,1
10,Catharanthus roseus,Tapak dara,1.0,1
11,Citrus hystrix,Jeruk purut,1.0,1
12,Citrus sinensis,Jeruk,1.0,1
13,Cocos nucifera,Kelapa,10.0,10
14,Durio zibethinus,Durian,8.0,8
15,Elaeis guineensis,Sawit,9.0,9
16,Etlingera elianor,Kecombrang,1.0,1
17,Garcinia mangostana,Manggis,3.0,3
18,Hibiscus rosa x sinensis,Hibiscus,1.0,1
19,Lansium domesticum,Duku,21.0,21
20,Macaranga sp.,Mahang,22.0,22
21,Manilkara zapota,Sawo,1.0,1
22,Melastoma malabathricum,Melastoma,8.0,8
23,Melicope ptelofolia,Tenggek burung,5.0,5
24,Monstera sp.,Monstera,1.0,1
25,Muntingia calabura,Talok,1.0,1
26,Musa paradisiaca,Pisang,23.0,23
27,Nephelium lappaceum,Rambutan,32.0,32
28,Parkia speciosa,Petai,19.0,19
29,Persea americana,Alpukat,2.0,2
30,Philodendron sp.,-,1.0,1
31,Pithecellobium jiringa,Jengkol,3.0,3
32,Pluchea indica,Beluntas,1.0,1
33,Pometia pinnata,Matoa,2.0,2
34,Saraca indica,Asoka,2.0,2
35,Solanum melongena,Terong,2.0,2
36,Solanum torvum,Takokak,2.0,2
37,Syzygium aqueum,Jambu air,1.0,1
38,Syzygium malaccense,Jambu gelas,3.0,3
39,Syzygium polyanthum,Salam,1.0,1
40,Tetracera indica,Mempelas,1.0,1
41,Trema orientalis,Anggrung,1.0,1
42,Vitex pinnata,Leban,1.0,1
43,Wrightia religiosa,Anting putri,3.0,3
44,Xanthostemon chrysanthus,Santos,86.0,86
