No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acridotheres javanicus,Jalak kerbau,2,8,3,5
2,Acrocephalus bistrigiceps,Kerak basi alis hitam,1,0,0,0
3,Aegithina tiphia,Cipoh kacat,5,0,3,5
4,Aerodramus hirundinaceus,Walet sarang putih,4,7,6,6
5,Alcedo meninting,Raja udang meninting,0,1,2,2
6,Anthreptes malacensis,Burung-madu kelapa,2,3,3,4
7,Anthreptes simplex,Burung madu polos,2,1,1,1
8,Artamus leucorynchus,Kekep babi,0,5,0,0
9,Brachypteryx montana,Cingcoang biru,1,0,0,0
10,Butorides striata,Kokokan laut,1,4,0,0
11,Cacomantis merulinus,Wiwik kelabu,1,2,0,0
12,Cecropis striolata,Layang-layang loreng,3,1,1,1
13,Centropus bengalensis,Bubut alang-alang,0,0,1,2
14,Charadrius sp.,Cerek,0,3,0,0
15,Collocalia affinis,Walet-sapi jari-bulu,0,0,0,12
16,Collocalia esculenta,Walet sapi,9,12,5,5
17,Collocalia maxima,Walet sarang hitam,0,6,6,6
18,Delichon dasypus,Layang-layang rumah,9,6,7,7
19,Dendrocopos moluccensis,Caladi tilik,0,2,3,5
20,Dicaeum trigonostigma,Cabai bunga-api,0,1,1,1
21,Ficedula zanthopygia,Sikatan emas,6,0,0,0
22,Geopelia striata,Perkutut jawa,3,4,3,3
23,Gerygone sulphurea,Remetuk laut,0,2,0,0
24,Halcyon smyrnensis,Cekakak belukar,0,2,0,2
25,Hemipus picatus,Jinjing bukit,4,0,0,0
26,Hirundapus cochinchinensis,Kapinis jarum pantat putih,6,2,2,2
27,Hirundo rustica,Layang-layang asia,0,2,3,5
28,Hirundo tahitica,Layang-layang batu,10,3,4,7
29,Lalage nigra,Kapasan kemiri,0,0,2,4
30,Leptocoma calcostetha,Burung-madu bakau,5,3,1,1
31,Lonchura malacca,Bondol rawa,7,0,0,0
32,Meiglyptes tukki,Caladi badok,0,0,0,2
33,Merops philippinus,Kirik-kirik laut,7,0,0,0
34,Merops viridis,Kirik-kirik biru,0,0,0,1
35,Orthotomus atrogularis,Cinenen belukar,0,0,0,2
36,Orthotomus ruficeps,Cinenen kelabu,12,2,0,1
37,Passer montanus,Gereja erasia,0,6,4,10
38,Phaenicophaeus sumatranus,Kadalan saweh,0,0,2,2
39,Picus vittatus,Pelatuk hijau,0,0,2,2
40,Psilopogon henricii,Takur topi emas,2,0,0,0
41,Psilopogon rafflesii,Takur tutut,1,1,0,0
42,Pycnonotus aurigaster,Kutilang,4,2,3,7
43,Pycnonotus brunneus,Merbah mata-merah,2,0,0,0
44,Pycnonotus goiavier,Merbah cerucuk,5,13,10,16
45,Pycnonotus plumosus,Merbah belukar,4,1,1,3
46,Rhaphidura leucopygialis,Kapinis jarum kecil,5,3,3,3
47,Spilopelia chinensis,Tekukur biasa,2,3,3,8
48,Todirhamphus chloris,Cekakak sungai,12,6,3,5
