No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acridotheres javanicus,Jalak kerbau,3,6,9,5.0
2,Aerodramus hirundinaceus,Walet sarang putih,4,5,16,0.0
3,Aerodramus maximus,Walet sarang hitam,0,0,8,0.0
4,Alcedo coerulescens,Raja udang biru,0,2,0,0.0
5,Anthreptes malacensis,Burung madu kelapa,13,4,8,3.0
6,Arachnothera crassirostris,Pijantung kampung,4,0,0,0.0
7,Ardeola bacchus,Blekok cina,0,1,0,0.0
8,Artamus leucoryn,Kekep babi,7,0,0,0.0
9,Cecropis striolata,Layang-layang Loreng,10,0,0,0.0
10,Centropus bengalensis,Bubut Alang-alang,2,0,0,0.0
11,Centropus sinensis,Bubut besar,5,1,4,5.0
12,Cinnyris ornatus,Burung madu sriganti,0,0,0,1.0
13,Collocalia affinis,Walet-sapi jari-bulu,0,0,0,16.0
14,Collocalia esculenta,Walet sapi,9,4,6,0.0
15,Collocalia linchi,Walet linchi,0,4,9,0.0
16,Cypsiurus balasiensis,Walet palem asia,0,2,4,4.0
17,Delichon dasypus,Layang-layang Rumah,7,0,4,4.0
18,Dendrocopos moluccensis,Caladi tilik,0,3,7,2.0
19,Dicaeum cruentatum,Cabai merah,4,0,0,0.0
20,Dicaeum trochileum,Cabai jawa,5,0,0,0.0
21,Dicrurus paradiseus,Srigunting batu,0,0,0,1.0
22,Elanus caeruleus,Elang tikus,2,2,4,2.0
23,Gallus gallus,Ayam hutan merah,0,2,2,3.0
24,Geopelia striata,Perkutut jawa,8,4,6,4.0
25,Hirundapus giganteus,Kapinis jarum gedang,0,3,4,4.0
26,Hirundo tahitica,Layang-layang batu,0,0,14,
27,Lalage nigra,Kapasan kemiri,2,2,6,3.0
28,Lonchura atricapilla,Bondol coklat,0,0,9,5.0
29,Lonchura maja,Bondol haji,6,4,10,7.0
30,Micropternus brachyurus,Pelatuk kijang,0,2,0,0.0
31,Nectarinia jugularis,Burung madu sriganti,7,2,0,0.0
32,Prinia flaviventris,Perenjak Rawa,0,0,0,1.0
33,Pycnonotus aurigaster,Kutilang,9,0,0,4.0
34,Pycnonotus goiavier,Merbah cerucuk,11,7,8,7.0
35,Rhaphidura leucopygialis,Kapinis jarum kecil,10,3,0,0.0
36,Spilopelia chinensis,Tekukur biasa,6,0,0,
37,Todirhamphus chloris,Cekakak sungai,0,2,6,3.0
38,Treron vernans,Punai gading,6,3,6,4.0
