No,Nama Ilmiah,Nama Lokal,Jumlah 2021,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Acasia auriculiformis,Akasia,0,6,6,0,0
2,Alphonsea javanica,Setulang,0,0,12,0,0
3,Alstonia pneumatophore,Pulai rawa,32,5,5,0,0
4,Anacardium occidentale,Jambu mete,2,3,9,4,4
5,Annona muricata,Sirsak,0,0,0,20,0
6,Aquilaria malacensis,Gaharu,0,45,27,0,0
7,Archidendron pauciflorum,Jengkol,0,0,30,0,0
8,Areca catechu,Pinang,0,0,0,4,4
9,Arenga pinnata,Aren,20,20,0,25,5
10,Artocarpus altilis,Sukun,0,0,1,1,0
11,Artocarpus elasticus,Bendo,0,0,0,2,0
12,Artocarpus heterophyllus,Nangka,98,253,257,5,9
13,Calophyllum dioscurii,Mentangor,0,0,0,100,100
14,Chamaedaphne calyculata,Centingi,0,5,0,0,0
15,Citrus sp.,Jeruk,0,0,4,4,0
16,Cocos nucifera,Kelapa,3,2,2,2,0
17,Coffea canephora,Kopi,0,0,0,10,0
18,Cratoxylon arborescens,Geronggang,91,1,21,0,0
19,Cymbopogon nardus,Serai wangi,0,15,15,0,0
20,Durio sp.,Durian,4,1,1,0,0
21,Durio zibethinus,Durian,0,0,0,11,10
22,Elaeis guinensis,Sawit,0,5,17,174,110
23,Ficus sp.,Beringin,0,0,0,1,13
24,Gomphandra capitulate,Malasiro/masiro,45,146,44,20,11
25,Hevea brasiliensis,Karet,0,205,225,115,0
26,Ilex cymosa,Bengkulat,0,0,0,1,1
27,Laucaena leucocephala,Petai cina,43,10,10,0,0
28,Macaranga moetleyana,Mahang,3,3,2,0,0
29,Macaranga sp.,Menarung,0,0,4,0,0
30,Malaleuca leucodendra,Gelam,0,0,0,5,5
31,Mangifera indica,Mangga,0,2,2,3,2
32,Melaleuca leucadendra,Gelam,0,0,14,0,0
33,Melastoma sp.,Melastoma,0,0,2,0,0
34,Melicope ptelefolia,Tengek burung,11,6,243,25,25
35,Moringa oleifera,Kelor,0,0,1,0,0
36,Nepenthes ampularia x gracilis,Nepenthes,0,0,0,6,6
37,Nephelium lappaceum,Rambutan,0,0,0,1,0
38,Parcia speciosa,Petai,15,43,45,9,9
39,Phoebe sp.,Medang,6,11,0,0,0
40,Pometia pinnata,Matoa,0,0,15,75,0
41,Syzigium zeylanicum,Nasi – nasi,0,3,3,0,0
42,Syzygium aqueum,Jambu air,0,1,1,1,0
43,Syzygium leptostemon,Kelat tikus,0,0,5,5,0
44,Syzygium malaccense,Jambu bol,0,0,0,1,1
45,Syzygium oleina,Pucuk merah,0,2,5,0,0
46,Syzygium sp.,Jambu-jambuan,0,0,1,0,0
47,Syzygium zeylanicum,Nasi-nasi,0,0,0,1,2
48,Uncaria elliptica,,0,129,0,0,0
49,Vaccinium varingifolium,,8,1,1,0,0
50,Vitex pubescens,Leban,0,5,6,0,0
51,Samanea saman,Trembesi,0,0,0,0,10
52,Swietenia mahagoni,Mahoni,0,0,0,0,5
53,Gmelina arborea,Gamelina,0,0,0,0,5
54,Macaranga triloba,Mahang,0,0,0,0,3
