No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Ahaetulla prasina,Ular pucuk,1,1,0,0
2,Dendrelaphis pictus,Ular tampar,1,0,0,0
3,Draco sp.,Cecak terbang,0,0,6,3
4,Duttaphrynus melanostictus,Kodok buduk,0,1,0,0
5,Eutropis multifasciata,Kadal kebun,0,2,8,3
6,Fejervarya sp.,Kodok sawah,0,0,1,2
7,Hemidactylus frenatus,Cecak pohon,0,0,1,0
8,Homalopsis buccata,Ular air belang,0,0,5,4
9,Hylarana erythrea,Kongkang gading,0,0,5,12
10,Ophiophagus hannah,Kobra raja,2,1,0,0
11,Python reticulatus,Ular sanca batik,0,1,0,0
12,Varanus salvator,Biawak air,1,2,2,3
