No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Collosciurus notatus,Bajing kelapa,0,2,4,6
2,Cynopterus sphinx,Kelalawar/kalong,0,0,1,1
3,Macaca fascicularis,Monyet ekor panjang,1,13,24,11
4,Macaca nemestrina,Beruk mentawai,1,7,10,5
5,Mydaus javanensis,Sigung,0,1,0,0
6,Prionailurus bengalensis,Kucing hutan,0,2,0,0
7,Sus scrofa,Babi,1,2,3,3
8,Trachypithecus cristatus,Lutung kelabu,1,5,20,10
9,Tupaia glis,Tupai,3,0,0,0
10,Viverridae,Musang,1,1,0,0
11,Tupaia sp.,Tupai,0,0,0,4
