No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Aegithina tiphia,Cipoh kacat,2,5
2,Anthreptes malacensis,Burung madu kelapa,2,4
3,Cinnyris jugularis,Burung madu sriganti,5,7
4,Collocalia affinis,Walet-sapi jari-bulu,0,3
5,Copsychus saularis,Kucica kampung,0,1
6,Dicaeum trigonostigma,Cabai bunga-api,0,1
7,Dicrurus paradiseus,Srigunting batu,3,5
8,Eurystomus orientalis,Tiong lampu biasa,1,1
9,Orthotomus atrogularis,Cinenen belukar,1,2
10,Passer montanus,Burung gereja eurasia,8,13
11,Psilopogon sp.,Takur,0,1
12,Pycnonotus aurigaster,Kutilang,3,6
13,Pycnonotus goiavier,Merbah cerucuk,3,7
14,Pycnonotus plumosus,Merbah belukar,3,5
15,Strix leptogrammica,Kukuk beluk,0,1
