No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Ailanthus triphysa,Mirip petai,1,1
2,Alphonsea javanica,Setulang,0,4
3,Alstonia pneumatophora,Pulai rawa,26,26
4,Aquilaria malaccensis,Pelawar,1,1
5,Barringtonia acutangula,Mangrove air tawar,1,1
6,Calamus sp.,Rotan,1,1
7,Calanthe triplicata,Anggrek bayi tidur,0,5
8,Calophyllum inophyllum,Nyamplung,1,1
9,Carallia brachiata,Perepat hutan,2,2
10,Chionanthus ramiflorus,Kayu malam,3,3
11,Cleyera japonica,Sakaki,1,1
12,Coffea arabica,Kopi,6,6
13,Coffea sp.,Kopi hutan,1,1
14,Cyrtostachys renda,Palem leher merah,1,1
15,Diospyros maritima,Eboni laut,2,2
16,Diospyros sp.,Arang-arang,1,1
17,Dipterocarpus sp.,,0,1
18,Durio zibenthinus,Durian hutan,1,2
19,Dyera polyphylla,Jelutung,2,2
20,Elaeocarpus achmadii,-,1,1
21,Gluta renghas,Rengas,4,4
22,Gynotroches axillaris,Mata keli,1,1
23,Koompassia malaccensis,Kempas,1,1
24,Lindera sp.,Medang-medangan,1,1
25,Macaranga sp.,Mahang,3,3
26,Macaranga triloba,Mahang damar,0,1
27,Melicope ptelefolia,Tenggek burung,0,1
28,Metroxylon sagu,Rumbia,1,1
29,Nephelium glabrum,Redan,1,1
30,Nephelium maingayi,Ridan,0,1
31,Palaqium burchii,Balam,1,1
32,Pandanus tectorius,Pandan laut,2,2
33,Parashorea aptera,Meranti batu,1,1
34,Parkia speciosa,Petai,2,2
35,Shorea balangeran,Blangeran,0,12
36,Shorea sp.,Meranti,7,7
37,Shorea uliginosa,Meranti daun lebar,1,1
38,Sindora sp.,Sindur,0,1
39,Syzygium abulugense,Kelat putih,4,4
40,Syzygium lineatum,Kelat,1,1
41,Syzygium oblatum,Kelat jambu,3,3
42,Syzygium palembanicum,Kelat merah,2,2
43,Tetramerista glabra,Punak,3,3
44,Uncaria acida,Kekait,1,1
